SourcePage,Section,LinkText,LinkUrl,LinkType,FinalStatusCode,StatusLabel,RedirectChain,ResponseTimeMs,HardFail,Notes,CheckedAt
https://findlayedu.wpenginepowered.com/about/,nav,Give,https://give.findlay.edu/,external,,EXTERNAL_NOT_CHECKED,,,,,2026-05-12T08:51:02.434Z
https://findlayedu.wpenginepowered.com/about/,nav,Oiler Hub,http://www.findlay.edu/intranet,external,,EXTERNAL_NOT_CHECKED,,,,,2026-05-12T08:51:02.434Z
https://findlayedu.wpenginepowered.com/about/,nav,Media,https://brand.findlay.edu/,external,,EXTERNAL_NOT_CHECKED,,,,,2026-05-12T08:51:02.434Z
https://findlayedu.wpenginepowered.com/about/,nav,Facebook,https://www.facebook.com/universityfindlay,external,,EXTERNAL_NOT_CHECKED,,,,,2026-05-12T08:51:02.434Z
https://findlayedu.wpenginepowered.com/about/,nav,Instagram,https://www.instagram.com/ufindlay/,external,,EXTERNAL_NOT_CHECKED,,,,,2026-05-12T08:51:02.434Z
https://findlayedu.wpenginepowered.com/about/,nav,Youtube,https://www.youtube.com/user/ufindlay,external,,EXTERNAL_NOT_CHECKED,,,,,2026-05-12T08:51:02.434Z
https://findlayedu.wpenginepowered.com/about/,nav,LinkedIn,https://www.linkedin.com/school/the-university-of-findlay/,external,,EXTERNAL_NOT_CHECKED,,,,,2026-05-12T08:51:02.434Z
https://findlayedu.wpenginepowered.com/about/,nav,Academic Calendar,https://findlay.smartcatalogiq.com/en/current/undergraduate-catalog/academic-calendar/2026-2027-academic-calendar,external,,EXTERNAL_NOT_CHECKED,,,,,2026-05-12T08:51:02.434Z
https://findlayedu.wpenginepowered.com/about/,nav,Academic Catalog,https://findlay.smartcatalogiq.com/,external,,EXTERNAL_NOT_CHECKED,,,,,2026-05-12T08:51:02.434Z
https://findlayedu.wpenginepowered.com/about/,nav,City of Findlay,https://visitfindlay.com/,external,,EXTERNAL_NOT_CHECKED,,,,,2026-05-12T08:51:02.434Z
https://findlayedu.wpenginepowered.com/about/,nav,Camps & Events,https://calendar.findlay.edu/,external,,EXTERNAL_NOT_CHECKED,,,,,2026-05-12T08:51:02.434Z
https://findlayedu.wpenginepowered.com/about/,nav,Interactive Campus Map,https://campusmap.findlay.edu/?id=635#!ct/7280,external,,EXTERNAL_NOT_CHECKED,,,,,2026-05-12T08:51:02.434Z
https://findlayedu.wpenginepowered.com/about/,nav,Office of Marketing & Communications,https://brand.findlay.edu/,external,,EXTERNAL_NOT_CHECKED,,,,,2026-05-12T08:51:02.434Z
https://findlayedu.wpenginepowered.com/about/,nav,Address Update,https://workday.findlay.edu/,external,,EXTERNAL_NOT_CHECKED,,,,,2026-05-12T08:51:02.434Z
https://findlayedu.wpenginepowered.com/about/,nav,Net Price Calculator,https://app.meadowfi.com/findlay,external,,EXTERNAL_NOT_CHECKED,,,,,2026-05-12T08:51:02.434Z
https://findlayedu.wpenginepowered.com/about/,nav,Endowed Scholarships,https://give.findlay.edu/endowment-funds/,external,,EXTERNAL_NOT_CHECKED,,,,,2026-05-12T08:51:02.434Z
https://findlayedu.wpenginepowered.com/about/,nav,Meet your Admission Counselor,http://findlayedu.wpengine.com/admissions-aid/visit-connect/meet-your-admission-counselor/,external,,EXTERNAL_NOT_CHECKED,,,,,2026-05-12T08:51:02.434Z
https://findlayedu.wpenginepowered.com/about/,nav,Request Information,https://apply.findlay.edu/register/visit,external,,EXTERNAL_NOT_CHECKED,,,,,2026-05-12T08:51:02.434Z
https://findlayedu.wpenginepowered.com/about/,nav,Schedule Campus Visit,https://www.findlay.edu/offices/business-affairs/stores/,external,,EXTERNAL_NOT_CHECKED,,,,,2026-05-12T08:51:02.434Z
https://findlayedu.wpenginepowered.com/about/,nav,Virtual Tour,https://www.findlay.edu/admissions/visit-findlay-virtually,external,,EXTERNAL_NOT_CHECKED,,,,,2026-05-12T08:51:02.434Z
https://findlayedu.wpenginepowered.com/about/,nav,Academic Partnerships,http://findlayedu.wpengine.com/admissions-aid/special-programs/academic-partnerships/,external,,EXTERNAL_NOT_CHECKED,,,,,2026-05-12T08:51:02.434Z
https://findlayedu.wpenginepowered.com/about/,nav,Academic Calendar,https://findlay.smartcatalogiq.com/en/current/undergraduate-catalog/academic-calendar/2025-2026-academic-calendar/,external,,EXTERNAL_NOT_CHECKED,,,,,2026-05-12T08:51:02.434Z
https://findlayedu.wpenginepowered.com/about/,nav,Parking & Transportation,https://uof.rt.gw/about/offices/campus-safety/parking-on-campus/,external,,EXTERNAL_NOT_CHECKED,,,,,2026-05-12T08:51:02.434Z
https://findlayedu.wpenginepowered.com/about/,nav,Academic Catalog,https://findlay.smartcatalogiq.com/,external,,EXTERNAL_NOT_CHECKED,,,,,2026-05-12T08:51:02.434Z
https://findlayedu.wpenginepowered.com/about/,nav,Camps & Events,https://calendar.findlay.edu/,external,,EXTERNAL_NOT_CHECKED,,,,,2026-05-12T08:51:02.434Z
https://findlayedu.wpenginepowered.com/about/,nav,Service & Volunteerism,https://findlayedu.wpengine.com/about/offices/campus-community-engagement/,external,,EXTERNAL_NOT_CHECKED,,,,,2026-05-12T08:51:02.434Z
https://findlayedu.wpenginepowered.com/about/,nav,How to Apply,https://housing.findlay.edu/,external,,EXTERNAL_NOT_CHECKED,,,,,2026-05-12T08:51:02.434Z
https://findlayedu.wpenginepowered.com/about/,nav,University Policies,https://findlay.smartcatalogiq.com/en/current/undergraduate-catalog/copy-of-university-policies,external,,EXTERNAL_NOT_CHECKED,,,,,2026-05-12T08:51:02.434Z
https://findlayedu.wpenginepowered.com/about/,nav,Athletics,https://findlayoilers.com/,external,,EXTERNAL_NOT_CHECKED,,,,,2026-05-12T08:51:02.434Z
https://findlayedu.wpenginepowered.com/about/,header,Donor,https://give.findlay.edu/,external,,EXTERNAL_NOT_CHECKED,,,,,2026-05-12T08:51:02.434Z
https://findlayedu.wpenginepowered.com/about/,header,Apply Now,https://apply.findlay.edu/portal/apply-now,external,,EXTERNAL_NOT_CHECKED,,,,,2026-05-12T08:51:02.434Z
https://findlayedu.wpenginepowered.com/about/,nav,Apply,https://apply.findlay.edu/portal/apply-now,external,,EXTERNAL_NOT_CHECKED,,,,,2026-05-12T08:51:02.434Z
https://findlayedu.wpenginepowered.com/about/,nav,Give,https://give.findlay.edu/,external,,EXTERNAL_NOT_CHECKED,,,,,2026-05-12T08:51:02.434Z
https://findlayedu.wpenginepowered.com/about/,nav,Athletics,https://findlayoilers.com/,external,,EXTERNAL_NOT_CHECKED,,,,,2026-05-12T08:51:02.434Z
https://findlayedu.wpenginepowered.com/about/,nav,IT Support,https://helpdesk.findlay.edu/support/home,external,,EXTERNAL_NOT_CHECKED,,,,,2026-05-12T08:51:02.434Z
https://findlayedu.wpenginepowered.com/about/,nav,Careers at Findlay,https://findlay.wd5.myworkdayjobs.com/careers,external,,EXTERNAL_NOT_CHECKED,,,,,2026-05-12T08:51:02.434Z
https://findlayedu.wpenginepowered.com/about/,nav,Newsroom,https://newsroom.findlay.edu/,external,,EXTERNAL_NOT_CHECKED,,,,,2026-05-12T08:51:02.434Z
https://findlayedu.wpenginepowered.com/about/,footer,Facebook,https://www.facebook.com/universityfindlay,external,,EXTERNAL_NOT_CHECKED,,,,,2026-05-12T08:51:02.434Z
https://findlayedu.wpenginepowered.com/about/,footer,Instagram,https://www.instagram.com/ufindlay/,external,,EXTERNAL_NOT_CHECKED,,,,,2026-05-12T08:51:02.434Z
https://findlayedu.wpenginepowered.com/about/,footer,X,https://x.com/ufindlay,external,,EXTERNAL_NOT_CHECKED,,,,,2026-05-12T08:51:02.434Z
https://findlayedu.wpenginepowered.com/about/,footer,LinkedIn,https://www.linkedin.com/school/the-university-of-findlay/,external,,EXTERNAL_NOT_CHECKED,,,,,2026-05-12T08:51:02.434Z
https://findlayedu.wpenginepowered.com/about/,footer,YouTube,https://www.youtube.com/user/ufindlay,external,,EXTERNAL_NOT_CHECKED,,,,,2026-05-12T08:51:02.434Z
https://findlayedu.wpenginepowered.com/about/about-uf/,nav,Give,https://give.findlay.edu/,external,,EXTERNAL_NOT_CHECKED,,,,,2026-05-12T08:51:02.434Z
https://findlayedu.wpenginepowered.com/about/about-uf/,nav,Oiler Hub,http://www.findlay.edu/intranet,external,,EXTERNAL_NOT_CHECKED,,,,,2026-05-12T08:51:02.434Z
https://findlayedu.wpenginepowered.com/about/about-uf/,nav,Media,https://brand.findlay.edu/,external,,EXTERNAL_NOT_CHECKED,,,,,2026-05-12T08:51:02.434Z
https://findlayedu.wpenginepowered.com/about/about-uf/,nav,Facebook,https://www.facebook.com/universityfindlay,external,,EXTERNAL_NOT_CHECKED,,,,,2026-05-12T08:51:02.434Z
https://findlayedu.wpenginepowered.com/about/about-uf/,nav,Instagram,https://www.instagram.com/ufindlay/,external,,EXTERNAL_NOT_CHECKED,,,,,2026-05-12T08:51:02.434Z
https://findlayedu.wpenginepowered.com/about/about-uf/,nav,Youtube,https://www.youtube.com/user/ufindlay,external,,EXTERNAL_NOT_CHECKED,,,,,2026-05-12T08:51:02.434Z
https://findlayedu.wpenginepowered.com/about/about-uf/,nav,LinkedIn,https://www.linkedin.com/school/the-university-of-findlay/,external,,EXTERNAL_NOT_CHECKED,,,,,2026-05-12T08:51:02.434Z
https://findlayedu.wpenginepowered.com/about/about-uf/,nav,Academic Calendar,https://findlay.smartcatalogiq.com/en/current/undergraduate-catalog/academic-calendar/2026-2027-academic-calendar,external,,EXTERNAL_NOT_CHECKED,,,,,2026-05-12T08:51:02.434Z
https://findlayedu.wpenginepowered.com/about/about-uf/,nav,Academic Catalog,https://findlay.smartcatalogiq.com/,external,,EXTERNAL_NOT_CHECKED,,,,,2026-05-12T08:51:02.434Z
https://findlayedu.wpenginepowered.com/about/about-uf/,nav,City of Findlay,https://visitfindlay.com/,external,,EXTERNAL_NOT_CHECKED,,,,,2026-05-12T08:51:02.434Z
https://findlayedu.wpenginepowered.com/about/about-uf/,nav,Camps & Events,https://calendar.findlay.edu/,external,,EXTERNAL_NOT_CHECKED,,,,,2026-05-12T08:51:02.434Z
https://findlayedu.wpenginepowered.com/about/about-uf/,nav,Interactive Campus Map,https://campusmap.findlay.edu/?id=635#!ct/7280,external,,EXTERNAL_NOT_CHECKED,,,,,2026-05-12T08:51:02.434Z
https://findlayedu.wpenginepowered.com/about/about-uf/,nav,Office of Marketing & Communications,https://brand.findlay.edu/,external,,EXTERNAL_NOT_CHECKED,,,,,2026-05-12T08:51:02.434Z
https://findlayedu.wpenginepowered.com/about/about-uf/,nav,Address Update,https://workday.findlay.edu/,external,,EXTERNAL_NOT_CHECKED,,,,,2026-05-12T08:51:02.434Z
